Algorithm,Total Crawls,Changes Detected,Data Freshness Rate,Crawl Efficiency,Total Resource Cost,Change Detection Rate,Wasted Crawl Ratio,Avg Staleness,Throughput,Wall Clock Time (s),param_name,param_value,algorithm_group
Adaptive Crawling (bi=0.5),1500,475,0.3167,0.679,322.52,0.2978,0.6833,12.0643,6.012,0.03,base_interval,0.5,Adaptive
Adaptive Crawling (bi=1.0),1500,485,0.3233,0.6376,309.22,0.2965,0.6767,12.0656,6.012,0.027,base_interval,1.0,Adaptive
Adaptive Crawling (bi=2.0),1500,481,0.3207,0.6277,301.91,0.2917,0.6793,12.07,6.012,0.03,base_interval,2.0,Adaptive
Adaptive Crawling (bi=4.0),1500,469,0.3127,0.6618,310.4,0.2918,0.6873,12.07,6.012,0.031,base_interval,4.0,Adaptive
Adaptive Crawling (bi=8.0),1500,481,0.3207,0.638,306.88,0.2891,0.6793,12.07,6.012,0.033,base_interval,8.0,Adaptive
Adaptive Crawling (bi=16.0),1500,479,0.3193,0.6639,318.0,0.2977,0.6807,12.07,6.012,0.034,base_interval,16.0,Adaptive
Adaptive Crawling (w=3),1500,481,0.3207,0.6103,293.57,0.2788,0.6793,12.071,6.012,0.042,window_size,3.0,Adaptive
Adaptive Crawling (w=5),1500,470,0.3133,0.6608,310.58,0.293,0.6867,12.0819,6.012,0.036,window_size,5.0,Adaptive
Adaptive Crawling (w=10),1500,480,0.32,0.6035,289.7,0.2878,0.68,12.0726,6.012,0.029,window_size,10.0,Adaptive
Adaptive Crawling (w=20),1500,479,0.3193,0.6751,323.38,0.2939,0.6807,12.0627,6.012,0.031,window_size,20.0,Adaptive
Adaptive Crawling (w=50),1500,481,0.3207,0.6272,301.7,0.3083,0.6793,12.0689,6.012,0.029,window_size,50.0,Adaptive
"Priority Queue (1.0,1.0,1.0)",1500,484,0.3227,0.454,219.71,0.2924,0.6773,13.7771,6.012,0.062,"α=1.0,β=1.0,γ=1.0",1.0,PriorityQueue
"Priority Queue (2.0,1.0,1.0)",1500,475,0.3167,0.5189,246.5,0.2943,0.6833,13.9083,6.012,0.056,"α=2.0,β=1.0,γ=1.0",2.0,PriorityQueue
"Priority Queue (1.0,2.0,1.0)",1500,492,0.328,0.4857,238.96,0.3017,0.672,13.5002,6.012,0.054,"α=1.0,β=2.0,γ=1.0",1.0,PriorityQueue
"Priority Queue (1.0,1.0,2.0)",1500,493,0.3287,0.4874,240.3,0.2935,0.6713,13.6877,6.012,0.054,"α=1.0,β=1.0,γ=2.0",1.0,PriorityQueue
"Priority Queue (0.5,2.0,0.5)",1500,479,0.3193,0.4423,211.85,0.294,0.6807,14.3548,6.012,0.058,"α=0.5,β=2.0,γ=0.5",0.5,PriorityQueue
"Priority Queue (2.0,2.0,0.5)",1500,491,0.3273,0.5509,270.51,0.299,0.6727,13.2009,6.012,0.054,"α=2.0,β=2.0,γ=0.5",2.0,PriorityQueue
Poisson MLE (c=0.1),1500,477,0.318,0.6483,309.26,0.2863,0.682,12.071,6.012,0.033,crawl_cost,0.1,Poisson
Poisson MLE (c=0.5),1500,482,0.3213,0.6426,309.72,0.2937,0.6787,12.0665,6.012,0.032,crawl_cost,0.5,Poisson
Poisson MLE (c=1.0),1500,481,0.3207,0.6617,318.26,0.2962,0.6793,12.0685,6.012,0.028,crawl_cost,1.0,Poisson
Poisson MLE (c=2.0),1500,482,0.3213,0.6401,308.54,0.284,0.6787,12.0702,6.012,0.03,crawl_cost,2.0,Poisson
Poisson MLE (c=5.0),1500,481,0.3207,0.6286,302.34,0.2945,0.6793,12.07,6.012,0.035,crawl_cost,5.0,Poisson
Poisson MLE (c=10.0),1500,478,0.3187,0.6537,312.45,0.2925,0.6813,12.07,6.012,0.033,crawl_cost,10.0,Poisson
UCB Bandit (c=0.1),1500,481,0.3207,0.5759,277.02,0.2901,0.6793,13.8094,6.012,0.074,exploration_c,0.1,UCB
UCB Bandit (c=0.5),1500,486,0.324,0.6231,302.84,0.3009,0.676,12.3435,6.012,0.072,exploration_c,0.5,UCB
UCB Bandit (c=1.0),1500,484,0.3227,0.5992,290.03,0.2986,0.6773,12.2513,6.012,0.073,exploration_c,1.0,UCB
UCB Bandit (c=2.0),1500,474,0.316,0.6125,290.33,0.2837,0.684,12.2415,6.012,0.103,exploration_c,2.0,UCB
UCB Bandit (c=5.0),1500,483,0.322,0.6133,296.24,0.2952,0.678,12.1041,6.012,0.077,exploration_c,5.0,UCB
UCB Bandit (c=10.0),1500,483,0.322,0.6658,321.57,0.2949,0.678,12.093,6.012,0.076,exploration_c,10.0,UCB
