Algorithm,Total Crawls,Changes Detected,Data Freshness Rate,Crawl Efficiency,Total Resource Cost,Change Detection Rate,Wasted Crawl Ratio,Avg Staleness,Throughput,Wall Clock Time (s),n_sites,budget
Periodic (Baseline),300,236,0.7867,0.1383,32.63,0.5975,0.2133,1.9265,2.0067,0.009,5,1
Adaptive Crawling,300,234,0.78,0.1358,31.77,0.5985,0.22,1.9441,2.0067,0.009,5,1
Priority Queue,300,167,0.5567,0.1368,22.85,0.4073,0.4433,3.1967,2.0067,0.011,5,1
Poisson MLE,300,239,0.7967,0.1292,30.88,0.6289,0.2033,1.9302,2.0067,0.009,5,1
UCB Bandit (c=1.0),300,155,0.5167,0.1997,30.96,0.4068,0.4833,2.7264,2.0067,0.009,5,1
Periodic (Baseline),300,229,0.7633,0.2667,61.08,0.4781,0.2367,4.3716,2.0067,0.009,10,1
Adaptive Crawling,300,234,0.78,0.2249,52.63,0.4785,0.22,4.3352,2.0067,0.013,10,1
Priority Queue,300,175,0.5833,0.1923,33.66,0.355,0.4167,6.5363,2.0067,0.011,10,1
Poisson MLE,300,234,0.78,0.2226,52.09,0.4795,0.22,4.3345,2.0067,0.009,10,1
UCB Bandit (c=1.0),300,170,0.5667,0.3222,54.78,0.372,0.4333,5.6727,2.0067,0.012,10,1
Periodic (Baseline),600,447,0.745,0.2768,123.71,0.47,0.255,8.692,4.0134,0.014,20,2
Adaptive Crawling,600,277,0.4617,0.469,129.91,0.2795,0.5383,12.0031,4.0134,0.015,20,2
Priority Queue,600,292,0.4867,0.3144,91.8,0.3097,0.5133,13.878,4.0134,0.025,20,2
Poisson MLE,600,276,0.46,0.4333,119.59,0.2794,0.54,12.0133,4.0134,0.016,20,2
UCB Bandit (c=1.0),600,282,0.47,0.4573,128.97,0.2947,0.53,12.3637,4.0134,0.034,20,2
Periodic (Baseline),2100,1498,0.7133,0.3173,475.26,0.5842,0.2867,18.6565,14.0468,0.041,50,7
Adaptive Crawling,2100,299,0.1424,1.5211,454.8,0.1149,0.8576,40.1922,14.0468,0.037,50,7
Priority Queue,2100,299,0.1424,1.2631,377.66,0.1136,0.8576,41.7114,14.0468,0.125,50,7
Poisson MLE,2100,299,0.1424,1.5578,465.77,0.115,0.8576,40.1922,14.0468,0.039,50,7
UCB Bandit (c=1.0),2100,299,0.1424,1.5123,452.16,0.1139,0.8576,40.1796,14.0468,0.173,50,7
Periodic (Baseline),4200,3026,0.7205,0.3287,994.52,0.5653,0.2795,38.0646,28.0936,0.094,100,14
Adaptive Crawling,4200,299,0.0712,3.2483,971.23,0.0564,0.9288,88.9771,28.0936,0.099,100,14
Priority Queue,4200,299,0.0712,2.635,787.85,0.0545,0.9288,90.6489,28.0936,0.352,100,14
Poisson MLE,4200,299,0.0712,3.2885,983.27,0.0564,0.9288,88.9771,28.0936,0.063,100,14
UCB Bandit (c=1.0),4200,299,0.0712,3.2333,966.74,0.0544,0.9288,88.9604,28.0936,0.502,100,14
